(Q-Qo)/mA.h	I/mA	time/s	Ecell/V	
1.705060897110999E+000	1.3607672E-001	4.511486014284077E+004	3.6205292E+000
1.707329032810653E+000	1.3609053E-001	4.517486014569062E+004	3.6208441E+000
1.709597173163775E+000	1.3608263E-001	4.523486014854047E+004	3.6209624E+000
1.711865317053820E+000	1.3607869E-001	4.529486015139031E+004	3.6212776E+000
1.714133463658583E+000	1.3609053E-001	4.535486015424016E+004	3.6215928E+000
1.716401607145088E+000	1.3608658E-001	4.541486015709001E+004	3.6218290E+000
1.718669747014542E+000	1.3609250E-001	4.547486015993985E+004	3.6223412E+000
1.720937887121820E+000	1.3609053E-001	4.553486016278970E+004	3.6229320E+000
1.723206022748566E+000	1.3609447E-001	4.559486016563955E+004	3.6233654E+000
1.725474153466109E+000	1.3608855E-001	4.565486016848939E+004	3.6238379E+000
1.727742280272750E+000	1.3608658E-001	4.571486017133924E+004	3.6242714E+000
1.730010407959016E+000	1.3609447E-001	4.577486017418909E+004	3.6247046E+000
1.732278528868101E+000	1.3608658E-001	4.583486017703894E+004	3.6251774E+000
1.734546649079406E+000	1.3608658E-001	4.589486017988878E+004	3.6254530E+000
1.736814772160600E+000	1.3607672E-001	4.595486018273863E+004	3.6256106E+000
1.739082893295007E+000	1.3609053E-001	4.601486018558848E+004	3.6257682E+000
1.741351019273053E+000	1.3608658E-001	4.607486018843832E+004	3.6260045E+000
1.743619143057962E+000	1.3608067E-001	4.613486019128817E+004	3.6261621E+000
1.745887261236492E+000	1.3608462E-001	4.619486019413802E+004	3.6262410E+000
1.748155377472465E+000	1.3609447E-001	4.625486019698787E+004	3.6264772E+000
1.750423496638147E+000	1.3607475E-001	4.631486019983771E+004	3.6267531E+000
1.752691614147044E+000	1.3608462E-001	4.637486020268756E+004	3.6270287E+000
1.754959735946324E+000	1.3607869E-001	4.643486020553741E+004	3.6273046E+000
1.757227860202781E+000	1.3609250E-001	4.649486020838725E+004	3.6275408E+000
1.759495988419528E+000	1.3607869E-001	4.655486021123710E+004	3.6277378E+000
1.761764119525361E+000	1.3609053E-001	4.661486021408695E+004	3.6280136E+000
1.764032250122767E+000	1.3608067E-001	4.667486021693680E+004	3.6281712E+000
1.766300381700007E+000	1.3609447E-001	4.673486021978664E+004	3.6285255E+000
1.768568514188073E+000	1.3609053E-001	4.679486022263649E+004	3.6287227E+000
1.770836650800813E+000	1.3607080E-001	4.685486022548634E+004	3.6289589E+000
1.773104788857500E+000	1.3608658E-001	4.691486022833618E+004	3.6291559E+000
1.775372928478279E+000	1.3608855E-001	4.697486023118603E+004	3.6295104E+000
1.777641066996662E+000	1.3608855E-001	4.703486023403588E+004	3.6298256E+000
1.779909205127002E+000	1.3608263E-001	4.709486023688572E+004	3.6301012E+000
1.782177346419162E+000	1.3609250E-001	4.715486023973557E+004	3.6302981E+000
1.784445488075689E+000	1.3609447E-001	4.721486024258542E+004	3.6305740E+000
1.786713633135052E+000	1.3607869E-001	4.727486024543527E+004	3.6309285E+000
1.788981776832458E+000	1.3608658E-001	4.733486024828511E+004	3.6313224E+000
1.791249912846933E+000	1.3608263E-001	4.739486025113496E+004	3.6319134E+000
1.793518043783564E+000	1.3608067E-001	4.745486025398481E+004	3.6325042E+000
1.795786175861259E+000	1.3609053E-001	4.751486025683465E+004	3.6328588E+000
1.798054303347601E+000	1.3609053E-001	4.757486025968450E+004	3.6332920E+000
1.800322426176642E+000	1.3608462E-001	4.763486026253435E+004	3.6337254E+000
1.802590550729194E+000	1.3609840E-001	4.769486026538420E+004	3.6340799E+000
1.804858673135746E+000	1.3608263E-001	4.775486026823404E+004	3.6345921E+000
1.807126795127905E+000	1.3608462E-001	4.781486027108389E+004	3.6348677E+000
1.809394914947732E+000	1.3607475E-001	4.787486027393374E+004	3.6350646E+000
1.811663034615475E+000	1.3610235E-001	4.793486027678358E+004	3.6352615E+000
1.813931153522581E+000	1.3607672E-001	4.799486027963343E+004	3.6353798E+000
1.816199270415356E+000	1.3607672E-001	4.805486028248328E+004	3.6355374E+000
1.818467386244527E+000	1.3608462E-001	4.811486028533312E+004	3.6356950E+000
1.820735505701593E+000	1.3608658E-001	4.817486028818297E+004	3.6359706E+000
1.823003623695763E+000	1.3608855E-001	4.823486029103282E+004	3.6362071E+000
1.825271743767849E+000	1.3609643E-001	4.829486029388267E+004	3.6365221E+000
1.827539869102430E+000	1.3608658E-001	4.835486029673251E+004	3.6365221E+000
1.829807991572461E+000	1.3608658E-001	4.841486029958236E+004	3.6367979E+000
1.832076117412034E+000	1.3609250E-001	4.847486030243221E+004	3.6371524E+000
1.834344243003022E+000	1.3608658E-001	4.853486030528205E+004	3.6374280E+000
1.836612367359408E+000	1.3608263E-001	4.859486030813190E+004	3.6376252E+000
1.838880492606743E+000	1.3609053E-001	4.865486031098175E+004	3.6378222E+000
1.841148617269869E+000	1.3608658E-001	4.871486031383160E+004	3.6382160E+000
1.843416748748198E+000	1.3608263E-001	4.877486031668144E+004	3.6384130E+000
1.845684885733798E+000	1.3608855E-001	4.883486031953129E+004	3.6387281E+000
1.847953022531230E+000	1.3609250E-001	4.889486032238114E+004	3.6389251E+000
1.850221159300092E+000	1.3609250E-001	4.895486032523098E+004	3.6390827E+000
1.852489298441559E+000	1.3608855E-001	4.901486032808083E+004	3.6392403E+000
1.854757438546792E+000	1.3608658E-001	4.907486033093068E+004	3.6396341E+000
1.857025578140774E+000	1.3608658E-001	4.913486033378053E+004	3.6399493E+000
1.859293719914771E+000	1.3608263E-001	4.919486033663037E+004	3.6402249E+000
1.861561866064833E+000	1.3608462E-001	4.925486033948022E+004	3.6405008E+000
1.863830005336967E+000	1.3609447E-001	4.931486034233007E+004	3.6410129E+000
1.866098136288375E+000	1.3608855E-001	4.937486034517991E+004	3.6414068E+000
1.868366268863554E+000	1.3608263E-001	4.943486034802976E+004	3.6419976E+000
1.870634398971266E+000	1.3608855E-001	4.949486035087961E+004	3.6424310E+000
1.872902525047130E+000	1.3608462E-001	4.955486035372945E+004	3.6428249E+000
1.875170650838051E+000	1.3609447E-001	4.961486035657930E+004	3.6431401E+000
1.877438781703131E+000	1.3608658E-001	4.967486035942915E+004	3.6433764E+000
1.879706911981876E+000	1.3608855E-001	4.973486036227900E+004	3.6435733E+000
1.881975041161875E+000	1.3608855E-001	4.979486036512884E+004	3.6438096E+000
1.884243168878075E+000	1.3608263E-001	4.985486036797869E+004	3.6438885E+000
1.886511293646403E+000	1.3609053E-001	4.991486037082854E+004	3.6441247E+000
1.888779421398242E+000	1.3609053E-001	4.997486037367838E+004	3.6442430E+000
1.891047549659146E+000	1.3608658E-001	5.003486037652823E+004	3.6445975E+000
1.893315678651962E+000	1.3608658E-001	5.009486037937808E+004	3.6447551E+000
1.895583808904398E+000	1.3609447E-001	5.015486038222793E+004	3.6449521E+000
1.897851938664110E+000	1.3608855E-001	5.021486038507777E+004	3.6451097E+000
1.900120069374674E+000	1.3608658E-001	5.027486038792762E+004	3.6454246E+000
1.902388198432235E+000	1.3609250E-001	5.033486039077747E+004	3.6455429E+000
1.904656331127253E+000	1.3609447E-001	5.039486039362731E+004	3.6459761E+000
1.906924462255239E+000	1.3608855E-001	5.045486039647716E+004	3.6460550E+000
1.909192593954032E+000	1.3609053E-001	5.051486039932701E+004	3.6462519E+000
1.911460728863892E+000	1.3609053E-001	5.057486040217686E+004	3.6465278E+000
1.913728866093697E+000	1.3608462E-001	5.063486040502670E+004	3.6467640E+000
1.915997005769387E+000	1.3608855E-001	5.069486040787655E+004	3.6470397E+000
1.918265147860977E+000	1.3609250E-001	5.075486041072640E+004	3.6472762E+000
1.920533291517678E+000	1.3609447E-001	5.081486041357624E+004	3.6473942E+000
1.922801436469265E+000	1.3608462E-001	5.087486041642609E+004	3.6476307E+000
1.925069582065394E+000	1.3609447E-001	5.093486041927594E+004	3.6479063E+000
1.927337724446555E+000	1.3609643E-001	5.099486042212578E+004	3.6483397E+000
1.929605862078129E+000	1.3608855E-001	5.105486042497563E+004	3.6488519E+000
1.931873999707417E+000	1.3609053E-001	5.111486042782548E+004	3.6492457E+000
1.934142134778110E+000	1.3609053E-001	5.117486043067533E+004	3.6496003E+000
1.936410263920782E+000	1.3609053E-001	5.123486043352517E+004	3.6501124E+000
1.938678390596625E+000	1.3608462E-001	5.129486043637502E+004	3.6505063E+000
1.940946514328188E+000	1.3609840E-001	5.135486043922487E+004	3.6509001E+000
1.943214642933533E+000	1.3608658E-001	5.141486044207471E+004	3.6513336E+000
1.945482766148034E+000	1.3608462E-001	5.147486044492456E+004	3.6516881E+000
1.947750887550910E+000	1.3608462E-001	5.153486044777441E+004	3.6519244E+000
1.950019007547638E+000	1.3608462E-001	5.159486045062426E+004	3.6522000E+000
1.952287126067703E+000	1.3608855E-001	5.165486045347410E+004	3.6522000E+000
1.954555247951026E+000	1.3608462E-001	5.171486045632395E+004	3.6522789E+000
1.956823374521517E+000	1.3609447E-001	5.177486045917380E+004	3.6524758E+000
1.959091498749058E+000	1.3608067E-001	5.183486046202364E+004	3.6526334E+000
1.961359622931050E+000	1.3608462E-001	5.189486046487349E+004	3.6528697E+000
1.963627748304506E+000	1.3609250E-001	5.195486046772334E+004	3.6528304E+000
1.965895873984264E+000	1.3608462E-001	5.201486047057319E+004	3.6530666E+000
1.968164000631604E+000	1.3608462E-001	5.207486047342303E+004	3.6533031E+000
1.970432127499075E+000	1.3608462E-001	5.213486047627288E+004	3.6534607E+000
